schoolyear,gradeLevel,classPeriod,classType,schoolName,gradePercentage,avid,sped,migrant,ell,student_ID
2023-2024,3,2.0,ART,Sunny Hillside Elementary School,95.0,Y,N,N,N,YV0HRB194
2024-2025,5,2.0,ART,Leafy Elementary School,100.0,Y,N,N,N,85VB0H1FI
2024-2025,1,8.0,SCI,Washington Stone Elementary School,93.3,Y,Y,Y,Y,IHS1SP601
2022-2023,7,7.0,ENG,North Junior High,66.4,N,Y,N,N,FZ98F51EF
2023-2024,6,1.0,SCI,South Junior High,103.7,N,N,N,N,8U6QJVC10
2021-2022,3,2.0,ENG,Online Learning School,90.7,N,N,Y,N,NX4WB62T3
2022-2023,8,7.0,SOC,Allfeather Middle School,85.6,N,N,N,N,2GD7Z16BG
2021-2022,8,7.0,ENG,Allfeather Middle School,62.2,N,N,N,N,B343HUTI2
2022-2023,6,3.0,ENG,Allfeather Middle School,96.6,Y,N,N,N,UI07JFQ17
2024-2025,4,2.0,ART,Rocky Elementary School,100.0,Y,N,N,N,9T4RV4OH0
2018-2019,6,2.0,ENG,East Junior High,91.5,Y,N,N,N,JXV41V87L
2022-2023,8,6.0,ENG,West Junior High,34.7,Y,N,N,N,39NVG90YQ
2021-2022,8,1.0,ELE,South Junior High,100.0,N,Y,N,N,5EM27VUV8
2023-2024,6,2.0,SOC,West Junior High,55.4,Y,Y,N,N,B76OK16OK
2018-2019,6,5.0,ART,Allfeather Middle School,71.8,Y,N,N,N,T605XAM2I
2020-2021,7,1.0,ENG,East Junior High,64.4,Y,N,N,N,1OVAF4Z36
2021-2022,8,5.0,SCI,South Junior High,90.8,Y,N,N,N,0AQSAF305
2022-2023,6,1.0,SCI,Allfeather Middle School,95.0,N,N,Y,N,9M6BTQ6O4
2024-2025,3,2.0,ART,Elk Meadow Elementary School,98.0,Y,N,N,N,P8PQ9C7F5
2022-2023,7,1.0,ELE,Allfeather Middle School,78.9,N,N,N,N,JR9Y1N9H7
2020-2021,7,3.0,MAT,West Junior High,42.8,N,N,N,N,3CNM8OG79
2020-2021,7,7.0,SCI,West Junior High,35.5,N,N,N,N,N7G18CK8C
2023-2024,0,3.0,MUS,Maria Flowers Elementary School,95.0,Y,Y,N,N,51OK8C7IW
2020-2021,8,1.0,ELE,West Junior High,20.5,Y,N,N,N,87BRJ9S9Q
2021-2022,8,5.0,ELE,West Junior High,45.2,N,N,N,N,U3O04Q8YJ
2024-2025,8,3.0,ENG,West Junior High,96.7,Y,N,N,N,RCQ8E92Q6
2023-2024,2,5.0,ENG,Sunny Hillside Elementary School,81.8,Y,N,N,N,J679TQ4OL
2021-2022,8,5.0,PE,South Junior High,50.0,N,N,Y,N,C064YF4TN
2023-2024,1,2.0,ENG,Seaside Elementary School,79.1,Y,N,N,Y,PA3VH6T28
2020-2021,7,2.0,MAT,East Junior High,70.7,N,N,N,N,O35VG67ZA
2024-2025,4,2.0,ART,Rocky Elementary School,100.0,Y,N,N,N,R13IO71AA
2024-2025,6,7.0,ENG,North Junior High,97.4,Y,N,N,N,Q3LYE1C03
2022-2023,8,7.0,PE,Allfeather Middle School,96.2,N,N,N,N,6OQU30NX3
2023-2024,3,2.0,ART,Grand River Elementary School,100.0,Y,N,N,N,SMHS5U810
2023-2024,1,4.0,PE,Grand River Elementary School,97.0,Y,N,N,N,5FM6Z28ZD
2022-2023,6,5.0,PE,West Junior High,87.0,N,N,N,N,EY21Y0GT6
2023-2024,0,6.0,ENG,Sunny Hillside Elementary School,85.0,Y,N,N,Y,Q67BB2CC9
2023-2024,2,4.0,PE,Grand River Elementary School,97.0,Y,N,Y,N,49N0SYRX6
2024-2025,1,8.0,SCI,Washington Stone Elementary School,93.3,Y,N,Y,Y,7XYK05WM6
2024-2025,5,9.0,SOC,Tulip Beach Elementary School,80.0,Y,N,N,N,RT78C2T6Z
2022-2023,7,0.0,MS,North Junior High,0.0,Y,N,N,N,YRC65H2G5
2021-2022,7,1.0,ELE,Allfeather Middle School,84.5,N,N,N,N,OE256TF9K
2021-2022,6,6.0,ENG,North Junior High,81.5,N,N,N,N,W50ZYT5D1
2024-2025,5,7.0,MAT,Seaside Elementary School,65.8,Y,N,N,Y,7QL5WG84A
2021-2022,7,6.0,MUS,North Junior High,100.6,N,N,Y,N,HB7E67PL7
2018-2019,3,20.0,SOC,Online Learning School,74.5,N,N,N,N,8KZ9SM48T
2024-2025,3,4.0,PE,Rocky Elementary School,100.0,N,N,N,N,W031WB2MS
2023-2024,2,6.0,ENG,Grand River Elementary School,98.5,Y,N,N,N,VBWY6030H
2024-2025,5,2.0,ART,Cloudy Elementary School,100.0,Y,Y,N,N,7IY5VF9Q3
2018-2019,7,3.0,ENG,Allfeather Middle School,62.7,N,N,Y,N,6G7B9TUH0
2022-2023,6,6.0,PE,Allfeather Middle School,99.1,N,N,N,N,0NWO34NE3
2022-2023,8,2.0,MAT,Allfeather Middle School,99.1,N,N,N,N,8H2GA6OY0
2024-2025,4,4.0,PE,Cloudy Elementary School,97.1,Y,N,N,N,881EQ8XWN
2022-2023,1,5.0,ENG,Washington Stone Elementary School,81.4,Y,N,N,N,172MG9TSF
2018-2019,6,6.0,ELE,East Junior High,100.0,Y,N,N,N,9KJ5S8M4G
2021-2022,6,5.0,MUS,South Junior High,80.3,N,N,N,N,LI8R5Y8H7
2023-2024,7,3.0,ENG,East Junior High,83.0,N,N,N,N,8Q2P0KRF7
2023-2024,0,5.0,ENG,Sunny Hillside Elementary School,60.2,Y,N,Y,Y,L223X9QBU
2024-2025,7,2.0,SOC,East Junior High,83.5,N,N,N,N,HO8LX474W
2018-2019,6,2.0,ENG,Allfeather Middle School,84.2,N,N,N,N,ZOB6I4R60
2023-2024,6,3.0,MAT,East Junior High,67.0,N,Y,N,N,114WSE3WM
2024-2025,3,9.0,SOC,Gale Elementary School,85.0,Y,Y,N,N,10IC5BP0A
2022-2023,1,7.0,MAT,Hall Elementary School,91.1,Y,N,N,N,T54ZY27XR
2018-2019,8,5.0,PE,Allfeather Middle School,94.4,N,N,N,N,4LC0M7D0R
2023-2024,7,2.0,SOC,North Junior High,90.7,N,N,N,N,6Q79MK6SE
2022-2023,7,4.0,SCI,West Junior High,88.6,N,N,N,N,998OS5EVC
2023-2024,7,3.0,ELE,North Junior High,62.0,Y,N,N,N,SM072WR9S
2024-2025,7,6.0,ELE,Allfeather Middle School,76.7,Y,N,N,Y,4HKC1P8I6
2020-2021,6,3.0,ART,East Junior High,74.1,N,N,N,N,1U1H7IS7V
2021-2022,6,1.0,ART,West Junior High,93.0,N,N,N,N,X0LG7W74D
2023-2024,4,9.0,SOC,Leafy Elementary School,77.1,Y,Y,N,N,R6FZF40V3
2020-2021,6,1.0,ENG,North Junior High,90.7,N,N,N,N,IESV18H55
2020-2021,6,4.0,ELE,West Junior High,84.5,Y,N,N,N,D6W1ZJ23L
2022-2023,6,4.0,ELE,South Junior High,94.1,N,N,N,N,ZX324YYU7
2023-2024,0,8.0,SCI,Gale Elementary School,100.0,Y,Y,N,N,M155LYHW2
2018-2019,7,6.0,ELE,Allfeather Middle School,87.4,Y,N,N,N,6YR3X2QW3
2023-2024,5,4.0,PE,Rocky Elementary School,100.0,Y,N,Y,Y,8N9D05EKJ
2024-2025,1,7.0,MAT,Tulip Beach Elementary School,98.1,N,N,N,N,I974OSWS4
2022-2023,2,6.0,ENG,Leafy Elementary School,76.9,Y,N,N,N,S1G4SHN32
2022-2023,7,7.0,ART,East Junior High,88.2,N,N,N,N,ED59YLH23
2021-2022,8,4.0,ENG,North Junior High,80.6,N,N,N,N,PSO072A2G
2021-2022,6,5.0,SOC,Allfeather Middle School,85.7,N,N,N,Y,V1QX60IE7
2021-2022,8,1.0,SCI,West Junior High,84.0,Y,N,N,N,DF024NS9D
2024-2025,8,7.0,MAT,West Junior High,79.0,Y,Y,N,N,ME00ME9R6
2023-2024,1,3.0,ENG,Seaside Elementary School,41.1,Y,N,N,N,T5OF01EO2
2024-2025,5,6.0,ENG,Gale Elementary School,69.5,Y,N,N,N,HKUS6339D
2023-2024,2,4.0,PE,Rocky Elementary School,100.0,N,N,N,Y,PNN3K5E72
2024-2025,7,4.0,SOC,Allfeather Middle School,70.6,N,N,N,N,8CHG418TS
2023-2024,7,6.0,SCI,South Junior High,99.1,N,Y,N,N,9FMD615UE
2022-2023,7,3.0,SCI,West Junior High,80.1,N,N,N,N,16YL7W3CA
2024-2025,1,4.0,PE,Rocky Elementary School,97.1,Y,N,Y,N,V63P0I7GL
2023-2024,6,1.0,MAT,Allfeather Middle School,79.5,N,N,N,N,SUTHO3638
2021-2022,7,5.0,MAT,East Junior High,92.2,N,N,N,N,W48TX49MV
2024-2025,3,8.0,SCI,Rocky Elementary School,100.0,N,N,N,N,H6B7OE16G
2024-2025,2,6.0,ENG,Gale Elementary School,93.9,Y,N,N,N,DD5270GUK
2023-2024,1,8.0,SCI,Gale Elementary School,100.0,Y,N,N,N,41ES6S6GJ
2022-2023,8,1.0,SOC,North Junior High,100.0,N,N,N,N,47Z8WY4LQ
2020-2021,6,3.0,PE,Allfeather Middle School,95.8,Y,N,N,N,V088FM4OZ
2020-2021,8,1.0,SOC,West Junior High,103.0,Y,N,N,N,DP7KX371Z
2022-2023,1,8.0,SCI,Hall Elementary School,100.0,Y,N,N,N,211ZO0VLE
2024-2025,6,6.0,SCI,North Junior High,100.0,Y,N,N,N,KCR644ES5
2022-2023,7,5.0,PE,South Junior High,71.7,N,N,N,N,56OT19XIV
2024-2025,5,9.0,SOC,Seaside Elementary School,70.6,Y,N,N,N,1BN0VYI14
2018-2019,6,3.0,PE,East Junior High,92.2,Y,N,N,N,ORT3I7R55
2023-2024,1,6.0,ENG,Leafy Elementary School,69.4,Y,N,N,Y,Q12FNC28N
2018-2019,8,3.0,SOC,North Junior High,38.0,N,Y,Y,N,E2AOK46D5
2022-2023,0,2.0,ART,Gale Elementary School,100.0,Y,N,N,N,X037U1WAX
2024-2025,7,1.0,ENG,East Junior High,77.9,Y,N,N,N,B0H8P02DT
2024-2025,8,4.0,ELE,North Junior High,100.0,Y,N,N,N,V65S3Y1BY
2022-2023,8,6.0,SCI,North Junior High,97.8,N,N,N,N,V4WLG36F8
2023-2024,3,6.0,ENG,Washington Stone Elementary School,94.9,Y,N,N,N,2Q8VG3F3Q
2023-2024,7,2.0,MAT,South Junior High,89.8,N,N,N,N,9VKC3KO17
2023-2024,7,7.0,ART,East Junior High,96.2,N,N,N,N,A3E2AY71L
2023-2024,7,5.0,ELE,West Junior High,73.9,N,N,N,N,73MNJ7IT1
2021-2022,7,1.0,ELE,Allfeather Middle School,87.5,N,N,N,N,U6H5O6AC8
2024-2025,2,6.0,ENG,Elk Meadow Elementary School,93.0,N,N,N,Y,CO569FV5X
2023-2024,4,9.0,SOC,Gale Elementary School,70.0,Y,N,N,N,R17JJ1I0B
2021-2022,6,2.0,ELE,Allfeather Middle School,92.2,N,N,N,N,HAT966R6U
2023-2024,1,8.0,SCI,Gale Elementary School,100.0,N,Y,N,N,R7TLCH112
2018-2019,8,1.0,ELE,North Junior High,62.5,N,N,N,N,AMY8G529Z
2022-2023,4,8.0,ENG,Washington Stone Elementary School,90.5,Y,N,N,N,4YL7AVX97
2020-2021,8,2.0,MAT,East Junior High,94.7,N,N,N,N,T21IC0NJ1
2023-2024,0,9.0,SOC,Cloudy Elementary School,100.0,Y,N,N,Y,RTU8X725F
2023-2024,6,7.0,SCI,West Junior High,98.0,Y,N,N,N,8P8L7Q4FN
2024-2025,2,4.0,PE,Gale Elementary School,100.0,Y,N,N,N,621MSFG4H
2021-2022,6,3.0,ART,North Junior High,97.2,Y,N,N,N,QEPE5878T
2023-2024,1,8.0,SCI,Gale Elementary School,92.9,Y,Y,N,N,W7L939QMG
2021-2022,7,3.0,ENG,Allfeather Middle School,94.0,N,N,N,N,H2FI0Y99I
2024-2025,3,6.0,ENG,Circle Elementary School,79.4,Y,N,N,N,77BG1Y4GV
2023-2024,0,8.0,SCI,Rocky Elementary School,85.0,N,N,N,N,C545DAWK9
2024-2025,1,6.0,ENG,Gale Elementary School,85.6,Y,N,Y,Y,O63W69MKZ
2021-2022,8,3.0,SCI,Allfeather Middle School,69.9,N,N,Y,N,6H4Q1CV3V
2024-2025,8,4.0,SOC,South Junior High,87.6,N,N,N,N,2L3IFX06B
2024-2025,1,4.0,PE,Rocky Elementary School,100.0,N,N,N,N,Z86NS4XP5
2018-2019,6,3.0,SCI,East Junior High,82.5,Y,N,N,N,L0U400EMZ
2018-2019,7,6.0,PE,East Junior High,100.0,N,N,N,N,PL3IH662C
2023-2024,5,5.0,ENG,Gale Elementary School,91.3,Y,N,N,Y,DZ709C7EC
2018-2019,7,6.0,SOC,East Junior High,63.1,N,N,N,N,6283BKLRA
2022-2023,4,4.0,PE,Hall Elementary School,95.0,Y,N,N,N,62ZWHT2P5
2023-2024,6,7.0,MUS,West Junior High,81.5,Y,N,N,N,U1CL2Q20C
2023-2024,0,2.0,ART,Leafy Elementary School,96.7,N,Y,N,Y,V4S0OI1K8
2018-2019,6,5.0,SCI,West Junior High,116.3,N,N,N,N,RQL0P040C
2023-2024,0,7.0,MAT,Gale Elementary School,99.2,Y,N,N,Y,2T80GL1RC
2021-2022,7,0.0,ELE,East Junior High,3.2,N,N,N,N,5CSJO348F
2021-2022,8,6.0,SCI,East Junior High,66.2,N,Y,N,N,BX87A8FB9
2018-2019,6,6.0,SCI,South Junior High,93.2,Y,N,Y,N,R93P4AHB5
2021-2022,6,2.0,ENG,West Junior High,100.0,Y,N,N,Y,2HI3W88OI
2021-2022,6,1.0,PE,South Junior High,63.1,N,N,Y,Y,3U34DC2OQ
2021-2022,7,3.0,SCI,West Junior High,36.7,N,N,Y,N,JR65U14JJ
2021-2022,7,7.0,ENG,North Junior High,87.3,N,N,N,N,A8SC96Z3L
2024-2025,0,2.0,ART,Maria Flowers Elementary School,100.0,N,N,N,N,MQ47W0Q2V
2022-2023,1,4.0,PE,Hall Elementary School,95.0,Y,N,N,N,31C0M0NYI
2024-2025,6,3.0,SOC,Allfeather Middle School,62.1,N,N,N,N,9ZV0E0QT5
2018-2019,6,1.0,SCI,North Junior High,100.0,N,N,N,N,2PBHSN270
2022-2023,6,6.0,PE,Allfeather Middle School,99.2,Y,N,N,N,1G1K2K3SZ
2023-2024,3,9.0,SOC,Sunny Hillside Elementary School,74.3,Y,N,N,N,1UX1Y5J8J
2023-2024,4,5.0,MAT,Hall Elementary School,47.8,N,N,Y,Y,52DY4NSR4
2018-2019,7,4.0,SOC,North Junior High,78.7,N,N,Y,N,3EZG43E3C
2020-2021,8,3.0,ENG,South Junior High,95.3,N,N,N,N,R48Q7IVY7
2023-2024,2,2.0,ART,Rocky Elementary School,98.6,Y,N,N,N,59PR93FBK
2022-2023,6,4.0,PE,Allfeather Middle School,98.3,Y,N,N,N,7R803ROVE
2023-2024,2,5.0,ENG,Hall Elementary School,54.5,Y,N,N,N,8Q50PIL8H
2023-2024,6,5.0,ENG,West Junior High,85.2,N,N,Y,Y,49RSM3UF6
2024-2025,8,3.0,ART,Allfeather Middle School,77.9,N,N,Y,N,6NE73HBG4
2023-2024,5,8.0,MUS,Seaside Elementary School,100.0,Y,N,N,N,VBXV672C9
2018-2019,8,2.0,ENG,Allfeather Middle School,69.8,N,N,N,N,N295V6FKU
2021-2022,8,2.0,ART,North Junior High,95.6,N,N,N,N,0G5K7RNV3
2023-2024,5,7.0,MAT,Rocky Elementary School,75.0,Y,N,Y,N,8TL3A6Z6J
2023-2024,2,3.0,MUS,Cloudy Elementary School,100.0,Y,N,N,N,6S9J8YG4E
2018-2019,7,3.0,SCI,West Junior High,95.0,N,N,N,N,3Z8EU5D8H
2022-2023,6,5.0,ENG,Allfeather Middle School,93.8,N,N,N,N,2LCA12T1Z
2024-2025,3,3.0,MUS,Grand River Elementary School,100.0,Y,N,N,N,Q577CRH3L
2024-2025,3,4.0,PE,Tulip Beach Elementary School,100.0,N,N,N,N,LH4RP634S
2024-2025,6,3.0,ENG,Allfeather Middle School,76.3,Y,N,N,N,40V7A5GMF
2024-2025,8,4.0,SOC,North Junior High,97.0,Y,N,N,N,RG6612MLG
2020-2021,7,3.0,ENG,South Junior High,74.6,Y,N,N,N,56ZXH40GH
2024-2025,0,4.0,PE,Hall Elementary School,90.0,Y,N,N,N,X5CS7DW69
2024-2025,3,5.0,ENG,Leafy Elementary School,54.1,N,N,Y,Y,H36GU3DL7
2023-2024,2,5.0,SCI,Seaside Elementary School,94.6,Y,N,N,N,T4DK33V8L
2024-2025,8,1.0,SOC,South Junior High,86.5,N,N,Y,Y,E2MBP45N2
2018-2019,6,5.0,ELE,South Junior High,74.3,N,N,N,N,61BGCK6J2
2023-2024,7,4.0,SOC,East Junior High,100.0,N,N,N,N,JQ36W8TE0
2023-2024,8,5.0,SCI,Allfeather Middle School,86.9,N,N,N,N,443XOTIX8
2024-2025,2,5.0,ENG,Cloudy Elementary School,81.0,Y,N,N,Y,UF8F1Z1X9
2024-2025,6,1.0,MUS,Allfeather Middle School,95.0,Y,N,N,N,IAN9K41K4
2022-2023,7,1.0,MS,East Junior High,83.3,N,N,N,N,NO97CQ27O
2023-2024,8,4.0,SOC,South Junior High,90.9,Y,N,N,N,2FAK5D38C
2024-2025,2,3.0,MUS,Tulip Beach Elementary School,100.0,N,N,N,N,9OKI69MK3
2023-2024,5,2.0,ART,Rocky Elementary School,96.3,Y,N,N,N,TYA9O1V38
2024-2025,8,4.0,SCI,North Junior High,89.7,Y,N,N,N,W6M2ZW30B
2023-2024,6,1.0,MAT,West Junior High,83.8,Y,N,N,N,46GGAF7D6
2024-2025,7,1.0,ELE,West Junior High,1500.0,N,N,Y,Y,49RSM3UF6
2018-2019,6,4.0,IN,East Junior High,79.1,Y,N,N,N,6EG5UWS11
2020-2021,8,6.0,ELE,Allfeather Middle School,88.9,Y,N,Y,N,7S1AQD08Y
2021-2022,7,2.0,SCI,North Junior High,41.8,N,Y,N,N,07B2HS6LK
2020-2021,7,2.0,MAT,East Junior High,4.3,N,N,N,N,N23DSD9S9
2021-2022,8,2.0,ENG,North Junior High,98.7,N,N,N,N,H26W7TK3R
2024-2025,8,8.0,ELE,North Junior High,72.9,Y,N,N,N,8YNB1HH38
2022-2023,8,1.0,ENG,West Junior High,88.2,Y,N,N,N,O7PHC36H6
2023-2024,0,7.0,MAT,Washington Stone Elementary School,92.3,Y,N,N,N,1C0P1XG2W
2023-2024,6,1.0,ELE,North Junior High,100.0,Y,N,N,Y,0L0ZN0N3D
2024-2025,5,8.0,SCI,Maria Flowers Elementary School,100.0,Y,N,N,N,UT22CQ6B4
2020-2021,8,4.0,SCI,East Junior High,98.3,N,N,N,N,Q78H3Y7BR
2022-2023,7,2.0,PE,Allfeather Middle School,95.6,N,N,N,N,443XOTIX8
2021-2022,8,7.0,ENG,Allfeather Middle School,33.3,N,N,Y,N,RQ386VIE1
2023-2024,8,3.0,ELE,West Junior High,89.5,Y,Y,N,N,Z283FWI3G
2024-2025,6,2.0,SOC,East Junior High,59.8,N,N,N,N,84X19RRDH
2021-2022,8,4.0,ENG,West Junior High,75.0,Y,N,N,N,F2W82AY4W
2018-2019,6,5.0,SCI,Allfeather Middle School,100.0,N,N,N,N,N1X2OLX04
2020-2021,7,1.0,ENG,North Junior High,93.7,N,N,N,N,PSO072A2G
2024-2025,5,4.0,PE,Cloudy Elementary School,100.0,Y,N,N,N,65U5BMS4E
2023-2024,3,7.0,ART,Seaside Elementary School,100.0,Y,N,N,N,XA9L69P1N
2018-2019,8,5.0,ELE,South Junior High,84.0,N,N,N,N,9BTCU39E6
2023-2024,1,4.0,PE,Grand River Elementary School,97.0,Y,N,Y,Y,893KNC6JS
2023-2024,2,8.0,SCI,Elk Meadow Elementary School,96.0,N,Y,N,N,BNY0A27E8
2018-2019,7,2.0,ENG,East Junior High,85.0,N,N,N,N,JQD5N943D
2022-2023,3,3.0,MUS,Hall Elementary School,100.0,Y,N,N,N,AC03LB52R
2021-2022,8,0.0,ELE,East Junior High,50.0,Y,N,N,N,Y12KRB9I1
2022-2023,8,3.0,ELE,East Junior High,99.5,Y,N,N,N,B9ASH609N
2023-2024,0,5.0,ENG,Sunny Hillside Elementary School,99.4,Y,N,N,N,62JGC9KJ9
2022-2023,8,6.0,ENG,Allfeather Middle School,72.7,N,N,N,N,A159HZXI3
2022-2023,8,1.0,MS,East Junior High,100.0,N,N,N,N,V8G5HG24M
2021-2022,7,1.0,SOC,East Junior High,93.7,N,N,N,N,V387ER6HP
2021-2022,8,2.0,SOC,West Junior High,74.8,Y,N,N,N,QHU7V41G3
2021-2022,7,2.0,PE,West Junior High,90.7,N,N,N,N,45R7NJ9MD
2022-2023,6,1.0,SCI,North Junior High,100.0,Y,Y,N,N,874OS8FOC
2022-2023,4,8.0,SCI,Leafy Elementary School,64.6,N,N,N,N,73R6S2AQO
2020-2021,7,6.0,SOC,Allfeather Middle School,17.8,N,N,N,N,9H4LJVS43
2021-2022,6,5.0,ENG,East Junior High,85.8,Y,N,N,N,FBO6E5M52
2022-2023,5,5.0,MAT,Hall Elementary School,76.6,Y,N,N,N,1MQXH431H
2022-2023,8,7.0,SOC,North Junior High,85.8,N,N,N,N,JP2W9L9O6
2021-2022,7,3.0,ART,East Junior High,97.2,N,N,N,N,3KH6YJ5R9
2018-2019,8,4.0,ENG,South Junior High,84.3,Y,N,Y,N,ML429JL1A
2018-2019,7,5.0,ELE,South Junior High,74.8,N,N,N,N,99WH9IW2T
2024-2025,4,7.0,MAT,Washington Stone Elementary School,87.7,Y,N,Y,N,0BZM3Y0P1
2020-2021,8,7.0,SCI,West Junior High,7.1,Y,N,N,N,E1C0RGV87
2023-2024,0,5.0,ENG,Circle Elementary School,90.0,N,N,N,N,8YV8N7ZN6
2024-2025,7,1.0,MAT,East Junior High,85.1,Y,N,N,N,9QO2G9A2L
2020-2021,7,2.0,SCI,North Junior High,90.9,N,N,N,N,0S5J3WUF1
2022-2023,4,8.0,ENG,Washington Stone Elementary School,83.3,Y,N,Y,N,V0EE53ST2
2021-2022,6,5.0,SOC,North Junior High,35.4,Y,N,N,N,75DDV4D9W
2023-2024,6,3.0,SOC,North Junior High,62.5,N,N,N,N,KM0G2MC97
2024-2025,7,1.0,ELE,West Junior High,333.3,N,N,N,N,155FUFL9B
2022-2023,4,7.0,MAT,Hall Elementary School,98.4,Y,N,N,Y,UHI5M544B
2023-2024,5,2.0,ENG,Gale Elementary School,80.0,N,Y,N,N,5L8KM3HF2
2024-2025,5,5.0,ENG,Seaside Elementary School,74.4,Y,N,N,N,T0S6XX16X
2022-2023,6,8.0,ENG,West Junior High,78.0,N,N,N,N,4PF15K4SP
2022-2023,6,3.0,PE,Allfeather Middle School,98.2,N,N,N,Y,Q127OEI2C
2021-2022,8,1.0,SOC,West Junior High,73.9,Y,N,N,N,Y859OUHZ3
2024-2025,7,4.0,ART,Allfeather Middle School,92.4,N,N,N,N,6X79X8AWQ
2023-2024,4,6.0,ENG,Gale Elementary School,83.7,Y,N,N,N,MIAV971T0
2023-2024,7,6.0,ENG,North Junior High,33.2,N,N,N,Y,ZY637XDF7
2024-2025,7,6.0,SOC,South Junior High,88.8,N,Y,N,N,0XUZ96QY8
2021-2022,6,1.0,ELE,North Junior High,107.5,Y,N,N,N,K4B27ZM0O
2024-2025,1,4.0,PE,Hall Elementary School,100.0,Y,N,N,N,R89YOGG60
2024-2025,1,3.0,MUS,Grand River Elementary School,100.0,Y,N,Y,Y,2ASMMA418
2018-2019,6,3.0,ELE,Allfeather Middle School,94.6,N,N,Y,N,QM2SN0M09
2023-2024,0,8.0,SCI,Gale Elementary School,100.0,Y,N,N,Y,25OG8GF1N
2023-2024,8,1.0,MAT,Allfeather Middle School,60.8,N,N,Y,N,U3HV1QY15
2022-2023,3,4.0,PE,Hall Elementary School,95.0,Y,N,N,N,H5X1D7TW9
2023-2024,7,5.0,PE,East Junior High,83.9,N,Y,N,N,4N0U9Y7KA
2023-2024,2,3.0,ENG,Seaside Elementary School,94.6,Y,N,N,N,4XK43O6IN
2023-2024,5,4.0,PE,Rocky Elementary School,100.0,Y,N,N,N,E2K6IVG30
2024-2025,8,3.0,PE,Allfeather Middle School,95.1,N,N,N,N,GKX826W5B
2023-2024,3,8.0,MUS,Seaside Elementary School,100.0,Y,Y,N,N,9XQT60H8A
2022-2023,6,1.0,MAT,North Junior High,83.0,Y,N,N,N,9VOT9WT28
2020-2021,8,6.0,SCI,West Junior High,65.8,Y,Y,N,N,WIBG728K7
2024-2025,1,3.0,MUS,Grand River Elementary School,100.0,Y,N,N,Y,JL9Z3M8D7
2023-2024,8,2.0,MAT,West Junior High,92.0,Y,N,Y,Y,A0V1XUA65
2021-2022,7,4.0,SCI,East Junior High,40.2,N,N,N,N,C6K4IBR96
2022-2023,7,3.0,ART,West Junior High,101.0,Y,N,Y,N,LXPS1996N
2021-2022,8,0.0,ELE,East Junior High,85.6,N,N,N,N,R64PSXI59
2021-2022,6,5.0,MAT,North Junior High,24.6,Y,N,N,N,25NWLI14P
2022-2023,6,4.0,SOC,Allfeather Middle School,21.0,N,Y,N,N,TR945JUP9
2020-2021,7,4.0,SCI,East Junior High,55.3,N,N,N,N,VJ44X8Z1Y
2021-2022,7,2.0,PE,West Junior High,78.0,N,Y,N,N,M6425CAOJ
2023-2024,6,6.0,MUS,Allfeather Middle School,75.7,Y,N,N,N,X3B709PUC
2021-2022,8,4.0,SCI,South Junior High,78.3,N,N,N,N,FWP25FY57
2023-2024,3,2.0,ART,Sunny Hillside Elementary School,95.0,Y,N,N,N,JO8S67OV1
2018-2019,6,4.0,MAT,North Junior High,80.8,N,N,N,N,RY98GV1M2
2023-2024,2,8.0,SCI,Gale Elementary School,100.0,Y,N,N,N,0VP2A4H4N
2020-2021,6,2.0,SCI,West Junior High,82.5,Y,N,N,N,8G7KD80KE
2022-2023,3,4.0,PE,Leafy Elementary School,95.0,Y,N,N,N,4PPY0AY68
2020-2021,8,3.0,ENG,Allfeather Middle School,16.3,N,N,Y,N,1669TITJR
2024-2025,2,3.0,MUS,Grand River Elementary School,100.0,Y,N,N,N,5QR0SQ4N3
2018-2019,8,2.0,MAT,Allfeather Middle School,79.8,N,N,N,N,P9B3MI38B
2024-2025,3,6.0,ENG,Tulip Beach Elementary School,93.3,N,N,N,N,ORSOM2115
2022-2023,8,7.0,SCI,Allfeather Middle School,84.8,N,N,N,N,60UFNO5L7
2022-2023,5,9.0,SOC,Gale Elementary School,94.1,Y,N,N,N,DM0T1X70E
2023-2024,8,2.0,ELE,East Junior High,81.6,Y,N,N,N,LL05G6W7V
2022-2023,7,5.0,SCI,West Junior High,83.3,Y,N,N,Y,X4ZEI7L19
2024-2025,6,1.0,MS,East Junior High,70.3,N,N,N,Y,TODR74C33
2024-2025,5,9.0,SOC,Rocky Elementary School,75.0,Y,Y,Y,N,ER75M7YN0
2020-2021,7,6.0,MUS,Allfeather Middle School,76.4,N,N,N,N,825R2PJUV
2020-2021,8,3.0,PE,Allfeather Middle School,97.2,N,N,N,N,2V8S09JKF
2024-2025,8,2.0,MAT,Allfeather Middle School,55.6,N,N,N,N,GBRS7079O
2023-2024,3,7.0,ENG,Hall Elementary School,88.0,Y,N,Y,Y,KKK34SI87
2020-2021,7,6.0,MUS,Allfeather Middle School,100.0,N,Y,N,N,N7I6R23WY
2023-2024,5,4.0,PE,Sunny Hillside Elementary School,100.0,Y,N,N,N,49PJTS0N0
2023-2024,7,3.0,MAT,South Junior High,59.4,N,N,N,N,D9WKS994J
2023-2024,8,8.0,ENG,West Junior High,90.3,Y,N,N,N,3H54W4JCI
2024-2025,6,8.0,MAT,West Junior High,69.8,Y,N,N,N,60XCMI77H
